input_term,term,industry
(blank),Media,Media
25,PR,Marketing/Advertising/PR
501(c)3 nonprofit - homeless services,Non-Profit,Non-Profit/Volunteering
A/E,Community,Social/Community
A/E/C Consulting,Consulting,Upper Management/Consulting
AEC,Engineering,Engineering/Architecture
AECO,Gas,Oil/Gas/Energy
AI,Research,Science/Research
AI/Biotech,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
ATM Industry,Banking,Banking/Loans
AUTO REPAIR,Insurance,Insurance
AV Freelance,Hospitality Travel,Hospitality/Travel
Abc,Media,Media
Acadamia,Research,Science/Research
Academia,Research,Science/Research
Academia (4-year college),Education,Education/Training
Academia (Engineering),Research,Science/Research
Academia (STEM),Engineering,Engineering/Architecture
Academia (administrator),Education,Education/Training
Academia (at a university),Education,Education/Training
Academia (science research),Science Research,Science/Research
Academia (science),Science Research,Science/Research
Academia (university),Science Research,Science/Research
Academia - Fundraising,Non-Profit,Non-Profit/Volunteering
Academia - Geology/Environmental Engineering,Environmental,Environmental
Academia - Private K-12,Education,Education/Training
Academia - Public Health,Healthcare,Healthcare
Academia - Staff,Education,Education/Training
Academia - human neuroscience,Science Research,Science/Research
Academia - library,Research,Science/Research
Academia / NGO,Research,Science/Research
Academia support,Research,Science/Research
Academia/Higher Ed,Education,Education/Training
Academia/Library,Research,Science/Research
Academia/Life Science Research,Science Research,Science/Research
Academia/Nonprofit,Non-Profit,Non-Profit/Volunteering
Academia/Other,Education,Education/Training
Academia/Research,Research,Science/Research
Academia/admissions,Education,Education/Training
Academia/government,Research,Science/Research
Academic Admin,Education,Education/Training
Academic Admin - College Admissions,Education,Education/Training
Academic Administration,Education,Education/Training
Academic IT,Education,Education/Training
Academic LIbrarianship,Education Training,Education/Training
Academic Libraries,Research,Science/Research
Academic Library,Research,Science/Research
Academic Medical Center,Healthcare,Healthcare
Academic Medicine,Healthcare,Healthcare
Academic Medicine/Higher Ed/Healthcare,Healthcare,Healthcare
Academic Public Health Research,Healthcare,Healthcare
Academic Publishing,Publishing,Arts/Entertainment/Publishing
Academic Research,Research,Science/Research
Academic Research (Neuroscience),Science Research,Science/Research
Academic Support - Health Sciences,Education,Education/Training
Academic Tech,Education,Education/Training
Academic book publishing,Publishing,Arts/Entertainment/Publishing
Academic communications,Research,Science/Research
Academic finance,Finance,Accounting/Finance
Academic health sciences libraries,Science Research,Science/Research
Academic healthcare,Healthcare,Healthcare
